V1,Date_Deb_Situ,ANNEE,Date_Fin_Situ,IDA,Responsabilite_IDA,ANNEE_CLOTURE,CHARGE_SINISTRE,Num_contrat,IMMAT
5315,2012-07-11,2012,2012-10-04,0,0,2013,2969.397948134,15643,74129
5316,2013-05-01,2013,2013-12-31,0,0,2014,4301.33991238257,15646,74149
5317,2013-02-08,2013,2013-08-04,0,0,2013,1294.24986593599,15654,74176
5321,2012-01-04,2012,2012-12-31,1,0,2012,-722.239669353575,15676,74253
5322,2012-09-11,2012,2012-12-31,0,0,2013,2002.41293237385,15684,74274
5323,2013-02-19,2013,2013-12-31,0,0,2014,2205.02547571955,15687,74286
5324,2013-01-01,2013,2013-12-31,0,0,2014,913.373206493124,15690,74299
5325,2013-10-01,2013,2013-12-31,0,0,2014,1370.92747171114,15691,74301
5326,2012-01-01,2012,2012-02-18,0,0,2012,4872.35849528332,15702,74330
5331,2012-01-01,2012,2012-12-31,1,0,2012,-585.030515358962,15702,74338
5336,2013-04-04,2013,2013-12-31,0,0,2013,1033.15367219164,15720,74419
5337,2013-02-14,2013,2013-12-31,1,0,2013,1217.42136242667,15726,74455
5340,2012-01-01,2012,2012-12-31,0,0,2013,1285.09899619982,15733,74486
5341,2013-11-19,2013,2013-12-31,0,0,0,2371.25010831224,15739,74509
5342,2013-03-20,2013,2013-06-24,0,0,2014,648.386006889232,15739,74510
5343,2013-03-20,2013,2013-06-24,0,0,2014,915.615115686438,15739,74510
5345,2012-01-01,2012,2012-10-22,1,0,2014,-118.314601995197,15751,74539
5346,2012-01-01,2012,2012-10-22,0,0,2012,3629.76954647979,15751,74539
5347,2012-04-25,2012,2012-07-15,0,0,2012,945.363526136173,15756,74559
5348,2012-01-01,2012,2012-12-31,0,0,2012,2206.7931348912,15757,74563
5349,2012-01-01,2012,2012-12-31,0,0,2012,140.119324582087,15757,74564
5351,2013-01-01,2013,2013-05-16,0,0,2013,1646.24038769577,15771,74616
5352,2013-07-30,2013,2013-09-01,0,0,2014,461.994969966307,15775,74625
5353,2013-01-14,2013,2013-12-31,0,0,2013,2339.00110683919,15779,74646
5356,2012-02-29,2012,2012-12-31,0,0,0,2216.04101031362,15791,74687
5357,2013-01-01,2013,2013-12-31,0,0,2014,387.09580177239,15792,74693
5358,2012-06-01,2012,2012-12-31,0,0,2012,822.080077323103,15792,74697
5360,2013-03-28,2013,2013-12-31,0,0,2014,696.091247704641,15793,74699
5361,2013-03-28,2013,2013-12-31,0,0,2014,545.516865826814,15793,74699
5363,2013-03-09,2013,2013-12-18,0,0,2014,161.676143748562,15795,74704
5364,2013-10-22,2013,2013-12-23,0,0,2014,2114.34671589577,15796,74706
5365,2013-05-13,2013,2013-10-30,0,0,2013,3488.32447751897,15797,74711
5367,2012-01-26,2012,2012-12-31,1,50,2013,-253.508193397745,15828,74821
5368,2013-01-01,2013,2013-12-31,0,0,2013,2237.68405675676,15828,74822
5369,2013-05-29,2013,2013-12-31,1,0,2013,2681.38806566031,15835,74840
5370,2012-02-01,2012,2012-12-31,1,0,2013,244.745346406573,15837,74845
5371,2013-02-01,2013,2013-12-31,0,0,2013,2211.53563510783,15837,74846
5373,2012-02-01,2012,2012-12-31,0,0,2012,6821.26740248598,15846,74881
5374,2012-02-01,2012,2012-12-31,1,0,2012,1321.01265693116,15846,74881
5375,2012-07-01,2012,2012-12-31,1,0,2013,-206.891571950243,15858,74915
5376,2013-01-01,2013,2013-12-31,0,0,2013,1408.13454159247,15865,74943
5377,2012-08-24,2012,2012-10-25,0,0,2013,1852.79782894893,15867,74962
5378,2012-08-24,2012,2012-10-25,0,0,2012,641.078245191797,15867,74962
5379,2012-06-04,2012,2012-12-31,1,0,2012,186.369480103759,15868,74970
5380,2012-02-04,2012,2012-07-20,0,0,2012,3921.86444618553,15871,74989
5382,2013-01-01,2013,2013-12-31,0,0,2013,2442.20437859869,15881,75017
5383,2013-08-01,2013,2013-12-31,0,0,2014,1970.15315249122,15883,75024
5384,2012-03-20,2012,2012-12-31,0,0,2013,161.676143748562,15886,75028
5386,2012-02-20,2012,2012-12-31,0,0,2012,928.786332197154,15893,75066
5388,2012-09-26,2012,2012-12-31,1,0,2013,-834.82015745049,15900,75092
5389,2013-01-25,2013,2013-10-24,0,0,2013,2355.67530646446,15901,75095
5390,2012-02-15,2012,2012-12-31,1,0,2013,281.930859468742,15904,75102
5391,2013-09-26,2013,2013-12-31,1,0,2014,-930.845008427552,15905,75106
5392,2013-03-11,2013,2013-12-31,0,0,2014,934.83301997335,15925,75172
5393,2012-11-13,2012,2012-12-31,0,0,2013,2380.14229621841,15926,75175
5394,2013-01-01,2013,2013-03-31,1,0,2013,-467.718305455006,15930,75186
5396,2013-01-01,2013,2013-12-31,0,0,2013,2184.90218502765,15935,75207
5397,2013-01-07,2013,2013-12-31,0,0,2014,88.9434358808754,15937,75215
5398,2012-02-12,2012,2012-12-31,1,0,2012,184.450923197942,15940,75227
5400,2013-01-01,2013,2013-12-31,0,0,2014,218.262794060558,15948,75260
5401,2013-01-01,2013,2013-12-31,1,0,2014,3030.03728044929,15948,75260
5403,2013-01-01,2013,2013-12-31,1,0,2013,80.1159184322039,15956,75279
5404,2013-01-01,2013,2013-12-31,0,0,2013,2956.19439639453,15956,75280
5405,2012-10-30,2012,2012-12-31,1,50,2013,221.884339680526,15958,75285
5406,2013-01-01,2013,2013-12-31,0,0,2014,1367.00413062284,15975,75341
5407,2012-03-01,2012,2012-12-31,1,0,2012,-783.471814195947,15983,75365
5409,2013-10-09,2013,2013-12-31,0,0,2014,5801.22027634756,16002,75450
5410,2012-03-01,2012,2012-12-31,0,0,2012,576.882037714035,16003,75457
5412,2013-03-12,2013,2013-12-02,1,0,2014,2009.41889860296,16006,75469
5413,2012-03-01,2012,2012-08-07,0,0,2013,1999.00695494555,16009,75480
5414,2013-01-01,2013,2013-02-28,0,0,2013,1833.10567464036,16011,75490
